customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1316,Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.33,431.05,No
C1317,Female,0,No,No,49,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,74.91,3692.33,No
C1318,Female,1,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.37,5.86,Yes
C1319,Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.43,454.81,No
C1320,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),89.1,4598.27,No
C1321,Female,1,No,Yes,49,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),70.56,3456.87,No
C1322,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,79.54,1370.14,No
C1323,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.72,325.3,Yes
C1324,Female,1,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.22,102.25,No
C1325,Male,0,No,No,3,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,83.73,225.97,No
C1326,Male,0,No,No,22,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,74.4,1693.96,Yes
C1327,Male,0,Yes,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.8,0.0,No
C1328,Male,0,Yes,No,42,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.36,2970.86,No
C1329,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.49,1730.94,Yes
C1330,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,62.24,0.0,Yes
C1331,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,61.66,291.34,Yes
C1332,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.01,479.72,No
C1333,Male,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),80.01,0.61,No
C1334,Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,95.47,2786.81,Yes
C1335,Female,0,No,No,50,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),55.28,2739.54,Yes
C1336,Female,0,No,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1158.6,No
C1337,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.31,2128.89,Yes
C1338,Female,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.38,2825.62,Yes
C1339,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.91,1002.52,No
C1340,Female,0,Yes,No,12,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.32,986.93,Yes
C1341,Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),98.21,2252.87,Yes
C1342,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.56,502.18,No
C1343,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.45,60.67,Yes
C1344,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,77.01,2165.94,No
C1345,Male,1,Yes,Yes,63,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,57.86,3644.06,Yes
C1346,Male,0,Yes,No,17,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,76.75,1326.12,No
C1347,Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),99.84,1265.67,No
C1348,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.64,447.72,No
C1349,Female,0,No,Yes,13,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,61.32,905.85,No
C1350,Male,0,No,No,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.24,763.14,Yes
C1351,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,100.84,5811.43,No
C1352,Female,1,Yes,No,13,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),74.51,1009.05,No
C1353,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.49,40.86,No
C1354,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,92.84,2674.33,No
C1355,Female,1,Yes,No,9,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,70.2,620.34,No
C1356,Female,0,No,No,24,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),63.74,1471.96,No
C1357,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,83.01,1391.99,No
C1358,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.26,759.1,Yes
C1359,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.57,76.18,No
C1360,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,91.5,0.0,No
C1361,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.99,686.32,Yes
C1362,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.87,2057.92,No
C1363,Male,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,70.25,424.92,No
C1364,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.83,900.99,Yes
C1365,Female,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.89,2975.95,Yes
C1366,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.56,333.85,Yes
C1367,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),89.23,3266.08,No
C1368,Female,0,No,Yes,34,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.3,2326.72,No
C1369,Male,0,No,Yes,44,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,63.71,2751.0,Yes
C1370,Female,1,Yes,No,49,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,93.94,4557.18,Yes
C1371,Male,0,Yes,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.93,281.92,No
C1372,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,29.33,655.63,No
C1373,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.4,1715.22,Yes
C1374,Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,76.21,522.91,No
C1375,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),94.95,487.29,No
C1376,Male,0,No,No,8,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),57.95,515.61,No
C1377,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),84.84,391.74,No
C1378,Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.61,725.34,Yes
C1379,Female,1,Yes,No,66,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),78.52,5107.18,Yes
C1380,Female,0,No,Yes,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),70.77,2827.17,Yes
C1381,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,79.78,297.86,Yes
C1382,Female,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),68.43,125.19,No
C1383,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,106.24,3087.63,Yes
C1384,Female,0,Yes,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.18,187.72,No
C1385,Male,0,Yes,Yes,34,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,71.16,2441.47,No
C1386,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.71,2981.02,Yes
C1387,Male,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.81,769.93,No
C1388,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,85.72,358.23,No
C1389,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.71,35.51,Yes
C1390,Male,0,No,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,70.6,346.3,Yes
C1391,Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,63.03,873.28,Yes
C1392,Female,1,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,80.81,5830.08,No
C1393,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.65,10.07,No
C1394,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.41,62.81,No
C1395,Male,0,Yes,No,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.07,958.51,No
C1396,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,82.4,655.0,Yes
C1397,Male,1,Yes,No,39,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,62.83,2424.11,No
C1398,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.99,296.97,Yes
C1399,Female,0,No,No,66,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),53.12,3587.04,No
C1400,Male,0,No,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),51.02,2555.23,Yes
C1401,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),98.84,4222.52,Yes
C1402,Male,0,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.39,84.68,Yes
C1403,Male,0,Yes,No,7,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,87.55,574.03,Yes
C1404,Female,0,No,Yes,32,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.62,3392.12,No
C1405,Female,0,Yes,No,32,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,107.04,3380.53,No
C1406,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,48.23,1145.76,No
C1407,Female,1,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),84.99,1023.07,No
C1408,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,83.47,664.98,Yes
C1409,Male,0,Yes,Yes,65,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,68.57,4519.97,Yes
C1410,Female,0,No,No,2,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,63.63,126.59,No
C1411,Female,0,Yes,No,0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,67.63,44.56,Yes
C1412,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),30.63,59.4,No
C1413,Male,0,Yes,Yes,29,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.82,2040.86,No
C1414,Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,91.29,9.63,No
C1415,Female,1,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),92.75,1373.3,No
C1416,Female,0,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.99,323.84,No
C1417,Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),42.44,101.89,No
C1418,Male,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.32,677.36,Yes
C1419,Male,0,No,Yes,1,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.86,10.25,Yes
C1420,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,85.58,512.9,Yes
C1421,Male,0,Yes,No,16,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),51.96,858.77,Yes
C1422,Male,0,No,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.26,621.34,Yes
C1423,Male,1,No,No,5,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.0,225.44,Yes
C1424,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.75,5047.52,Yes
C1425,Female,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),38.01,1980.44,No
C1426,Female,0,Yes,No,10,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.28,659.5,Yes
C1427,Male,0,No,No,10,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,80.07,806.83,No
C1428,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),97.98,669.61,No
C1429,Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.88,3455.42,Yes
C1430,Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,52.04,791.39,No
C1431,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),91.33,118.95,Yes
C1432,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.33,1122.1,Yes
C1433,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.09,740.31,No
C1434,Female,0,No,No,10,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,62.5,626.13,No
C1435,Female,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.59,375.1,Yes
C1436,Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),35.16,48.64,Yes
C1437,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),91.91,5711.95,No
C1438,Male,0,No,No,27,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,80.39,2169.82,Yes
C1439,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),31.08,66.56,No
C1440,Male,0,Yes,No,14,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,72.74,1037.62,Yes
C1441,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,69.85,1143.18,No
C1442,Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),80.5,275.24,Yes
C1443,Female,0,No,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,65.65,698.18,Yes
C1444,Male,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,72.11,1460.79,No
C1445,Male,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,87.23,513.59,Yes
C1446,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,83.49,676.19,No
C1447,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),67.45,109.55,Yes
C1448,Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,94.43,934.7,No
C1449,Female,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.2,329.37,No
C1450,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,61.05,191.15,Yes
C1451,Female,1,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,84.63,1591.32,Yes
C1452,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),70.78,778.25,No
C1453,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),88.73,1955.32,No
C1454,Male,0,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),93.9,664.13,No
C1455,Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,82.09,1402.33,Yes
C1456,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,89.89,1676.26,No
C1457,Female,0,No,Yes,23,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,82.51,1803.54,Yes
C1458,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.84,3125.56,Yes
C1459,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.52,141.33,No
C1460,Male,0,Yes,No,67,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.79,5364.3,No
C1461,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,73.1,2756.38,No
C1462,Male,0,No,No,16,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),65.16,1053.8,No
C1463,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,82.73,3589.8,No
C1464,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.15,920.66,Yes
C1465,Male,1,No,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.43,0.0,No
C1466,Female,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.1,2179.5,Yes
C1467,Female,0,No,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,90.79,5202.91,Yes
C1468,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,64.68,222.16,Yes
C1469,Female,1,No,No,20,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.79,1545.73,No
C1470,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.04,2919.53,Yes
C1471,Male,0,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.76,1865.29,Yes
C1472,Female,1,Yes,No,6,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.57,521.48,Yes
C1473,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,88.93,295.05,No
C1474,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),91.32,530.03,No
C1475,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,78.63,1364.35,No
C1476,Female,0,Yes,No,50,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,57.83,2893.38,No
C1477,Male,1,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,83.88,1414.38,Yes
C1478,Female,0,Yes,No,50,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,82.6,4111.77,Yes
C1479,Female,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),74.09,2197.63,No
C1480,Female,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.6,1528.99,Yes
C1481,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.34,0.0,Yes
C1482,Male,0,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),90.53,630.57,No
C1483,Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),95.19,146.38,No
C1484,Male,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),104.95,768.56,Yes
C1485,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),65.2,92.29,No
C1486,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),104.49,336.26,Yes
C1487,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.13,359.93,Yes
C1488,Male,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,80.47,1069.03,No
C1489,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,77.67,248.35,No
C1490,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),83.07,2155.37,No
C1491,Male,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,91.57,1557.33,No
C1492,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.15,636.53,No
C1493,Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),83.38,2153.11,Yes
C1494,Female,0,Yes,No,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,68.82,1671.34,Yes
C1495,Female,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.13,4538.82,No
C1496,Male,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,117.46,Yes
C1497,Female,0,Yes,No,6,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),53.99,362.12,Yes
C1498,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),106.97,92.55,No
